Image Name (.tif),Reference Length (um/px),Original Width,Original Height,# of Pixels,Down sampled # of Pixels,Ratio of original size to downsampled,New Reference Length (um/px)
2A_wk1_3,2.67335,3857,3248,12527536,65536,0.005231356,0.013985245
2G_wk1_4,3.55317,3969,3156,12526164,65536,0.005231929,0.018589933
2J_wk1_4,2.41412,3484,3596,12528464,65536,0.005230968,0.012628186
6-7-16_001_1-scale,2.36249,4588,2731,12529828,65536,0.005230399,0.012356765
6-7-16_001_2-scale,4.84327,3477,3604,12531108,65536,0.005229865,0.025329647
6-7-16_001_3-scale,1.84717,4246,2951,12529946,65536,0.00523035,0.009661345
6-7-16_003_1-scale,3.70943,3732,3357,12528324,65536,0.005231027,0.019404128
6-7-16_003_2-scale,1.80685,3510,3570,12530700,65536,0.005230035,0.009449889
6-7-16_003_3-scale,2.15984,3631,3450,12526950,65536,0.005231601,0.01129942
6-9-16_005_1-scale,2.26372,3799,3299,12532901,65536,0.005229117,0.011837256
6-9-16_005_2-scale,2.55803,3066,4086,12527676,65536,0.005231297,0.013381816
6-9-16_005_3-scale,2.53994,4269,2934,12525246,65536,0.005232312,0.01328976
6-9-16_007_1-scale,2.09513,4815,2601,12523815,65536,0.00523291,0.010963627
6-9-16_007_2-scale,1.7562,4037,3103,12526811,65536,0.005231659,0.009187839
6-9-16_007_3-scale,2.95625,3920,3197,12532240,65536,0.005229392,0.015459391
6-10-16_009_1-scale,2.60854,3868,3240,12532320,65536,0.005229359,0.013640992
6-10-16_009_2-scale,1.80685,3510,3570,12530700,65536,0.005230035,0.009449889
6-10-16_009_3-scale,1.55943,3585,3496,12533160,65536,0.005229008,0.008154273
6-10-16_011_1-scale,2.53907,4270,2935,12532450,65536,0.005229305,0.013277571
6-10-16_011_2-scale,2.16027,3631,3450,12526950,65536,0.005231601,0.01130167
6-10-16_011_3-scale,2.16006,3631,3450,12526950,65536,0.005231601,0.011300571
6-15-16_013_1-scale,2.51037,3722,3367,12531974,65536,0.005229503,0.013127988
6-15-16_013_2-scale,1.91056,3711,3377,12532047,65536,0.005229473,0.009991222
6-15-16_013_3-scale,2.35659,3964,3161,12530204,65536,0.005230242,0.012325536
6-15-16_015_1-scale,1.94219,3265,3837,12527805,65536,0.005231244,0.010160069
6-15-16_015_2-scale,1.93325,4444,2820,12532080,65536,0.005229459,0.010109852
6-15-16_015_3-scale,2.90133,3479,3602,12531358,65536,0.00522976,0.015173261
6-15-16_017_1-scale,2.15962,3631,3450,12526950,65536,0.005231601,0.011298269
6-15-16_017_2-scale,2.51015,3722,3367,12531974,65536,0.005229503,0.013126838
6-15-16_017_3-scale,2.26029,3801,3296,12528096,65536,0.005231122,0.011823853
